Statistic,Value,Suburb
Median total household income ($/weekly),1875.0,Indigo Valley
Median mortgage repayment ($/monthly),1733.0,Indigo Valley
Median rent ($/weekly)(a),235.0,Indigo Valley
Average number of persons per bedroom,0.7,Indigo Valley
Average household size,2.6,Indigo Valley
Median age of persons,53.0,Wairewa
Median total personal income ($/weekly),450.0,Wairewa
Median total family income ($/weekly),1041.0,Wairewa
Median total household income ($/weekly),885.0,Wairewa
Median mortgage repayment ($/monthly),819.0,Wairewa
Median rent ($/weekly)(a),150.0,Wairewa
Average number of persons per bedroom,0.7,Wairewa
Average household size,2.0,Wairewa
Median age of persons,41.0,Glenlofty
Median total personal income ($/weekly),1125.0,Glenlofty
Median total family income ($/weekly),4750.0,Glenlofty
Median total household income ($/weekly),2999.0,Glenlofty
Median mortgage repayment ($/monthly),1500.0,Glenlofty
Median rent ($/weekly)(a),250.0,Glenlofty
Average number of persons per bedroom,0.7,Glenlofty
Average household size,2.8,Glenlofty
Median age of persons,47.0,Tanjil South
Median total personal income ($/weekly),730.0,Tanjil South
Median total family income ($/weekly),2097.0,Tanjil South
Median total household income ($/weekly),1819.0,Tanjil South
Median mortgage repayment ($/monthly),1712.0,Tanjil South
Median rent ($/weekly)(a),235.0,Tanjil South
Average number of persons per bedroom,0.8,Tanjil South
Average household size,2.6,Tanjil South
Median age of persons,33.0,Gatum
Median total personal income ($/weekly),840.0,Gatum
Median total family income ($/weekly),1666.0,Gatum
Median total household income ($/weekly),1562.0,Gatum
Median mortgage repayment ($/monthly),2167.0,Gatum
Median rent ($/weekly)(a),200.0,Gatum
Average number of persons per bedroom,0.8,Gatum
Average household size,3.0,Gatum
Median age of persons,39.0,Smythesdale
Median total personal income ($/weekly),717.0,Smythesdale
Median total family income ($/weekly),1879.0,Smythesdale
Median total household income ($/weekly),1656.0,Smythesdale
Median mortgage repayment ($/monthly),1430.0,Smythesdale
Median rent ($/weekly)(a),300.0,Smythesdale
Average number of persons per bedroom,0.8,Smythesdale
Average household size,2.7,Smythesdale
Median age of persons,53.0,Ensay North
Median total personal income ($/weekly),774.0,Ensay North
Median total family income ($/weekly),1874.0,Ensay North
Median total household income ($/weekly),1208.0,Ensay North
Median mortgage repayment ($/monthly),453.0,Ensay North
Median rent ($/weekly)(a),0.0,Ensay North
Average number of persons per bedroom,0.8,Ensay North
Average household size,2.3,Ensay North
Median age of persons,40.0,Edithvale
Median total personal income ($/weekly),1021.0,Edithvale
Median total family income ($/weekly),2581.0,Edithvale
Median total household income ($/weekly),2101.0,Edithvale
Median mortgage repayment ($/monthly),2167.0,Edithvale
Median rent ($/weekly)(a),429.0,Edithvale
Average number of persons per bedroom,0.8,Edithvale
Average household size,2.4,Edithvale
Median age of persons,40.0,Willung South
Median total personal income ($/weekly),552.0,Willung South
Median total family income ($/weekly),2218.0,Willung South
Median total household income ($/weekly),1812.0,Willung South
Median mortgage repayment ($/monthly),1530.0,Willung South
Median rent ($/weekly)(a),350.0,Willung South
Average number of persons per bedroom,0.9,Willung South
Average household size,2.7,Willung South
Median age of persons,41.0,Kew East
Median total personal income ($/weekly),1043.0,Kew East
Median total family income ($/weekly),3178.0,Kew East
Median total household income ($/weekly),2490.0,Kew East
Median mortgage repayment ($/monthly),3000.0,Kew East
Median rent ($/weekly)(a),471.0,Kew East
Average number of persons per bedroom,0.9,Kew East
Average household size,2.7,Kew East
Median age of persons,27.0,Weir Views
Median total personal income ($/weekly),825.0,Weir Views
Median total family income ($/weekly),1834.0,Weir Views
Median total household income ($/weekly),1780.0,Weir Views
Median mortgage repayment ($/monthly),1800.0,Weir Views
Median rent ($/weekly)(a),352.0,Weir Views
Average number of persons per bedroom,0.8,Weir Views
Average household size,3.3,Weir Views
Median age of persons,43.0,Hansonville
Median total personal income ($/weekly),630.0,Hansonville
Median total family income ($/weekly),1562.0,Hansonville
Median total household income ($/weekly),1312.0,Hansonville
Median mortgage repayment ($/monthly),1300.0,Hansonville
Median rent ($/weekly)(a),275.0,Hansonville
Average number of persons per bedroom,0.8,Hansonville
Average household size,2.6,Hansonville
Median age of persons,39.0,Toongabbie (Vic.)
Median total personal income ($/weekly),782.0,Toongabbie (Vic.)
Median total family income ($/weekly),2036.0,Toongabbie (Vic.)
Median total household income ($/weekly),1732.0,Toongabbie (Vic.)
Median mortgage repayment ($/monthly),1400.0,Toongabbie (Vic.)
Median rent ($/weekly)(a),270.0,Toongabbie (Vic.)
Average number of persons per bedroom,0.8,Toongabbie (Vic.)
Average household size,2.7,Toongabbie (Vic.)
Median age of persons,43.0,Katandra West
Median total personal income ($/weekly),717.0,Katandra West
Median total family income ($/weekly),1687.0,Katandra West
Median total household income ($/weekly),1468.0,Katandra West
Median mortgage repayment ($/monthly),1158.0,Katandra West
Median rent ($/weekly)(a),195.0,Katandra West
Average number of persons per bedroom,0.8,Katandra West
Average household size,2.7,Katandra West
Median age of persons,56.0,St Leonards (Vic.)
Median total personal income ($/weekly),629.0,St Leonards (Vic.)
Median total family income ($/weekly),1426.0,St Leonards (Vic.)
Median total household income ($/weekly),1183.0,St Leonards (Vic.)
Median mortgage repayment ($/monthly),1654.0,St Leonards (Vic.)
Median rent ($/weekly)(a),350.0,St Leonards (Vic.)
Average number of persons per bedroom,0.6,St Leonards (Vic.)
Average household size,2.1,St Leonards (Vic.)
Median age of persons,48.0,Monomeith
Median total personal income ($/weekly),725.0,Monomeith
Median total family income ($/weekly),2124.0,Monomeith
Median total household income ($/weekly),1625.0,Monomeith
Median mortgage repayment ($/monthly),1400.0,Monomeith
Median rent ($/weekly)(a),150.0,Monomeith
Average number of persons per bedroom,0.8,Monomeith
Average household size,2.7,Monomeith
Median age of persons,49.0,Eurack
Median total personal income ($/weekly),725.0,Eurack
Median total family income ($/weekly),1687.0,Eurack
Median total household income ($/weekly),1562.0,Eurack
Median mortgage repayment ($/monthly),1300.0,Eurack
Median rent ($/weekly)(a),200.0,Eurack
Average number of persons per bedroom,0.7,Eurack
Average household size,2.6,Eurack
Median age of persons,68.0,Raymond Island
Median total personal income ($/weekly),544.0,Raymond Island
Median total family income ($/weekly),1170.0,Raymond Island
Median total household income ($/weekly),921.0,Raymond Island
Median mortgage repayment ($/monthly),969.0,Raymond Island
Median rent ($/weekly)(a),280.0,Raymond Island
Average number of persons per bedroom,0.7,Raymond Island
Average household size,1.8,Raymond Island
Median age of persons,50.0,Londrigan
Median total personal income ($/weekly),813.0,Londrigan
Median total family income ($/weekly),2049.0,Londrigan
Median total household income ($/weekly),1624.0,Londrigan
Median mortgage repayment ($/monthly),2167.0,Londrigan
Median rent ($/weekly)(a),0.0,Londrigan
Average number of persons per bedroom,0.7,Londrigan
Average household size,2.5,Londrigan
Median age of persons,38.0,Strathlea
Median total personal income ($/weekly),489.0,Strathlea
Median total family income ($/weekly),1625.0,Strathlea
Median total household income ($/weekly),900.0,Strathlea
Median mortgage repayment ($/monthly),1550.0,Strathlea
Median rent ($/weekly)(a),135.0,Strathlea
Average number of persons per bedroom,0.7,Strathlea
Average household size,2.0,Strathlea
Median age of persons,41.0,Ashburton
Median total personal income ($/weekly),1002.0,Ashburton
Median total family income ($/weekly),3422.0,Ashburton
Median total household income ($/weekly),2743.0,Ashburton
Median mortgage repayment ($/monthly),3000.0,Ashburton
Median rent ($/weekly)(a),455.0,Ashburton
Average number of persons per bedroom,0.8,Ashburton
Average household size,2.8,Ashburton
Median age of persons,52.0,Apollo Bay (Vic.)
Median total personal income ($/weekly),695.0,Apollo Bay (Vic.)
Median total family income ($/weekly),1504.0,Apollo Bay (Vic.)
Median total household income ($/weekly),1144.0,Apollo Bay (Vic.)
Median mortgage repayment ($/monthly),1700.0,Apollo Bay (Vic.)
Median rent ($/weekly)(a),300.0,Apollo Bay (Vic.)
Average number of persons per bedroom,0.7,Apollo Bay (Vic.)
Average household size,2.0,Apollo Bay (Vic.)
Median age of persons,49.0,Bolwarra (Vic.)
Median total personal income ($/weekly),581.0,Bolwarra (Vic.)
Median total family income ($/weekly),1708.0,Bolwarra (Vic.)
Median total household income ($/weekly),1394.0,Bolwarra (Vic.)
Median mortgage repayment ($/monthly),1603.0,Bolwarra (Vic.)
Median rent ($/weekly)(a),220.0,Bolwarra (Vic.)
Average number of persons per bedroom,0.8,Bolwarra (Vic.)
Average household size,2.5,Bolwarra (Vic.)
Median age of persons,21.0,Cape Conran
Median total personal income ($/weekly),1125.0,Cape Conran
Median total family income ($/weekly),0.0,Cape Conran
Median total household income ($/weekly),900.0,Cape Conran
Median mortgage repayment ($/monthly),0.0,Cape Conran
Median rent ($/weekly)(a),250.0,Cape Conran
Average number of persons per bedroom,0.8,Cape Conran
Average household size,1.5,Cape Conran
Median age of persons,50.0,Creswick
Median total personal income ($/weekly),607.0,Creswick
Median total family income ($/weekly),1556.0,Creswick
Median total household income ($/weekly),1144.0,Creswick
Median mortgage repayment ($/monthly),1300.0,Creswick
Median rent ($/weekly)(a),275.0,Creswick
Average number of persons per bedroom,0.7,Creswick
Average household size,2.2,Creswick
Median age of persons,56.0,Carlyle
Median total personal income ($/weekly),945.0,Carlyle
Median total family income ($/weekly),2542.0,Carlyle
Median total household income ($/weekly),2457.0,Carlyle
Median mortgage repayment ($/monthly),1833.0,Carlyle
Median rent ($/weekly)(a),200.0,Carlyle
Average number of persons per bedroom,0.7,Carlyle
Average household size,2.5,Carlyle
Median age of persons,38.0,Newry
Median total personal income ($/weekly),826.0,Newry
Median total family income ($/weekly),1937.0,Newry
Median total household income ($/weekly),1803.0,Newry
Median mortgage repayment ($/monthly),1517.0,Newry
Median rent ($/weekly)(a),243.0,Newry
Average number of persons per bedroom,0.8,Newry
Average household size,2.7,Newry
Median age of persons,40.0,Avonsleigh
Median total personal income ($/weekly),866.0,Avonsleigh
Median total family income ($/weekly),2242.0,Avonsleigh
Median total household income ($/weekly),2055.0,Avonsleigh
Median mortgage repayment ($/monthly),1859.0,Avonsleigh
Median rent ($/weekly)(a),356.0,Avonsleigh
Average number of persons per bedroom,0.8,Avonsleigh
Average household size,2.8,Avonsleigh
Median age of persons,42.0,Boomahnoomoonah
Median total personal income ($/weekly),1100.0,Boomahnoomoonah
Median total family income ($/weekly),2250.0,Boomahnoomoonah
Median total household income ($/weekly),1874.0,Boomahnoomoonah
Median mortgage repayment ($/monthly),1083.0,Boomahnoomoonah
Median rent ($/weekly)(a),150.0,Boomahnoomoonah
Average number of persons per bedroom,0.7,Boomahnoomoonah
Average household size,2.4,Boomahnoomoonah
Median age of persons,50.0,Bellbridge
Median total personal income ($/weekly),767.0,Bellbridge
Median total family income ($/weekly),1906.0,Bellbridge
Median total household income ($/weekly),1413.0,Bellbridge
Median mortgage repayment ($/monthly),1500.0,Bellbridge
Median rent ($/weekly)(a),308.0,Bellbridge
Average number of persons per bedroom,0.7,Bellbridge
Average household size,2.5,Bellbridge
Median age of persons,51.0,Bundalong
Median total personal income ($/weekly),733.0,Bundalong
Median total family income ($/weekly),1763.0,Bundalong
Median total household income ($/weekly),1527.0,Bundalong
Median mortgage repayment ($/monthly),1509.0,Bundalong
Median rent ($/weekly)(a),350.0,Bundalong
Average number of persons per bedroom,0.7,Bundalong
Average household size,2.4,Bundalong
Median age of persons,53.0,Woodstock (Vic.)
Median total personal income ($/weekly),671.0,Woodstock (Vic.)
Median total family income ($/weekly),1687.0,Woodstock (Vic.)
Median total household income ($/weekly),1375.0,Woodstock (Vic.)
Median mortgage repayment ($/monthly),3500.0,Woodstock (Vic.)
Median rent ($/weekly)(a),390.0,Woodstock (Vic.)
Average number of persons per bedroom,0.8,Woodstock (Vic.)
Average household size,2.7,Woodstock (Vic.)
Median age of persons,29.0,Cobblebank
Median total personal income ($/weekly),874.0,Cobblebank
Median total family income ($/weekly),1908.0,Cobblebank
Median total household income ($/weekly),1920.0,Cobblebank
Median mortgage repayment ($/monthly),1850.0,Cobblebank
Median rent ($/weekly)(a),370.0,Cobblebank
Average number of persons per bedroom,0.9,Cobblebank
Average household size,3.4,Cobblebank
Median age of persons,50.0,Murchison (Vic.)
Median total personal income ($/weekly),519.0,Murchison (Vic.)
Median total family income ($/weekly),1327.0,Murchison (Vic.)
Median total household income ($/weekly),952.0,Murchison (Vic.)
Median mortgage repayment ($/monthly),1083.0,Murchison (Vic.)
Median rent ($/weekly)(a),245.0,Murchison (Vic.)
Average number of persons per bedroom,0.8,Murchison (Vic.)
Average household size,2.2,Murchison (Vic.)
Median age of persons,54.0,Drouin West
Median total personal income ($/weekly),716.0,Drouin West
Median total family income ($/weekly),1781.0,Drouin West
Median total household income ($/weekly),1583.0,Drouin West
Median mortgage repayment ($/monthly),1509.0,Drouin West
Median rent ($/weekly)(a),193.0,Drouin West
Average number of persons per bedroom,0.8,Drouin West
Average household size,2.6,Drouin West
Median age of persons,44.0,Clonbinane
Median total personal income ($/weekly),728.0,Clonbinane
Median total family income ($/weekly),2050.0,Clonbinane
Median total household income ($/weekly),1902.0,Clonbinane
Median mortgage repayment ($/monthly),2000.0,Clonbinane
Median rent ($/weekly)(a),475.0,Clonbinane
Average number of persons per bedroom,0.8,Clonbinane
Average household size,2.6,Clonbinane
Median age of persons,60.0,Dooboobetic
